 time            V_out           ID              V_load          I_load         
 8.02800000e-07 -2.14107269e-08  0.00000000e+00  5.58169284e-02  5.66340017e-06 
 8.12800000e-07 -2.14528407e-08  0.00000000e+00  5.65443562e-02  5.71821385e-06 
 8.22800000e-07 -2.14108512e-08  0.00000000e+00  5.70936572e-02  5.75544770e-06 
 8.32800000e-07 -2.14524535e-08  0.00000000e+00  5.74668732e-02  5.77524854e-06 
 8.42800000e-07 -2.14109436e-08  0.00000000e+00  5.76654382e-02  5.77769559e-06 
 8.52800000e-07 -2.14520662e-08  0.00000000e+00  5.76901230e-02  5.76279748e-06 
 8.62800000e-07 -2.14110395e-08  0.00000000e+00  5.75410056e-02  5.73049190e-06 
 8.72800000e-07 -2.14516932e-08  0.00000000e+00  5.72174675e-02  5.68064779e-06 
 8.82800000e-07 -2.14124215e-08  0.00000000e+00  5.67182159e-02  5.61307023e-06 
 8.92800000e-07 -2.14515369e-08  0.00000000e+00  5.60413322e-02  5.52750783e-06 
 9.02800000e-07 -2.14124393e-08  0.00000000e+00  5.51843461e-02  5.42366279e-06 
 9.12800000e-07 -2.14511461e-08  0.00000000e+00  5.41443368e-02  5.30120363e-06 
 9.22800000e-07 -2.14125316e-08  0.00000000e+00  5.29180589e-02  5.15978037e-06 
 9.32800000e-07 -2.14507908e-08  0.00000000e+00  5.15020947e-02  4.99904214e-06 
 9.42800000e-07 -2.14126133e-08  0.00000000e+00  4.98930283e-02  4.81865689e-06 
 9.52800000e-07 -2.14504284e-08  0.00000000e+00  4.80876423e-02  4.61833298e-06 
 9.62800000e-07 -2.14126951e-08  0.00000000e+00  4.60831303e-02  4.39784188e-06 
 9.72800000e-07 -2.14500767e-08  0.00000000e+00  4.38773221e-02  4.15704172e-06 
 9.82800000e-07 -2.14127803e-08  0.00000000e+00  4.14689150e-02  3.89590057e-06 
 9.92800000e-07 -2.14497250e-08  0.00000000e+00  3.88577033e-02  3.61451892e-06 
 1.00280000e-06 -2.14128549e-08  0.00000000e+00  3.60447983e-02  3.31315025e-06 
 1.01280000e-06 -2.14493697e-08  0.00000000e+00  3.30328304e-02  2.99221904e-06 
 1.02280000e-06 -2.14129224e-08  0.00000000e+00  2.98261242e-02  2.65233519e-06 
 1.03280000e-06 -2.14490145e-08  0.00000000e+00  2.64308401e-02  2.29430442e-06 
 1.04280000e-06 -2.14129828e-08  0.00000000e+00  2.28550744e-02  1.91913390e-06 
 1.05280000e-06 -2.14486592e-08  0.00000000e+00  1.91089148e-02  1.52803311e-06 
 1.06280000e-06 -2.14130503e-08  0.00000000e+00  1.52044477e-02  1.12240971e-06 
 1.07280000e-06 -2.14483181e-08  0.00000000e+00  1.11557169e-02  7.03860588e-07 
 1.08280000e-06 -2.14131249e-08  0.00000000e+00  6.97863676e-03  2.74158752e-07 
 1.09280000e-06 -2.14467052e-08  0.00000000e+00  2.69086246e-03 -1.64763691e-07 
 1.10280000e-06 -2.14129757e-08  0.00000000e+00 -1.68837652e-03 -6.10835509e-07 
 1.11280000e-06 -2.14464423e-08  0.00000000e+00 -6.13847259e-03 -1.06186862e-06 
 1.12280000e-06 -2.14130574e-08  0.00000000e+00 -1.06376591e-02 -1.51558184e-06 
 1.13280000e-06 -2.14461012e-08  0.00000000e+00 -1.51632438e-02 -1.96962541e-06 
 1.14280000e-06 -2.14131036e-08  0.00000000e+00 -1.96918510e-02 -2.42160551e-06 
 1.15280000e-06 -2.14457708e-08  0.00000000e+00 -2.41996632e-02 -2.86910835e-06 
 1.16280000e-06 -2.14131463e-08  0.00000000e+00 -2.86626594e-02 -3.30972315e-06 
 1.17280000e-06 -2.14454333e-08  0.00000000e+00 -3.30568431e-02 -3.74106385e-06 
 1.18280000e-06 -2.14131924e-08  0.00000000e+00 -3.73584579e-02 -4.16078921e-06 
 1.19280000e-06 -2.14451065e-08  0.00000000e+00 -4.15441871e-02 -4.56662113e-06 
 1.20280000e-06 -2.14132386e-08  0.00000000e+00 -4.55913366e-02 -4.95636115e-06 
 1.21280000e-06 -2.14447903e-08  0.00000000e+00 -4.94780000e-02 -5.32790519e-06 
 1.22280000e-06 -2.14132919e-08  0.00000000e+00 -5.31832056e-02 -5.67925648e-06 
 1.23280000e-06 -2.14444741e-08  0.00000000e+00 -5.66870463e-02 -6.00853684e-06 
 1.24280000e-06 -2.14133345e-08  0.00000000e+00 -5.99707928e-02 -6.31399638e-06 
 1.25280000e-06 -2.14441543e-08  0.00000000e+00 -6.30169917e-02 -6.59402184e-06 
 1.26280000e-06 -2.14133736e-08  0.00000000e+00 -6.58095488e-02 -6.84714362e-06 
 1.27280000e-06 -2.14438381e-08  0.00000000e+00 -6.83338003e-02 -7.07204158e-06 
 1.28280000e-06 -2.14134127e-08  0.00000000e+00 -7.05765718e-02 -7.26754995e-06 
 1.29280000e-06 -2.14435220e-08  0.00000000e+00 -7.25262279e-02 -7.43266124e-06 
 1.30280000e-06 -2.14134447e-08  0.00000000e+00 -7.41727114e-02 -7.56652939e-06 
 1.31280000e-06 -2.14432058e-08  0.00000000e+00 -7.55075759e-02 -7.66847223e-06 
 1.32280000e-06 -2.14134767e-08  0.00000000e+00 -7.65240105e-02 -7.73797332e-06 
 1.33280000e-06 -2.14429002e-08  0.00000000e+00 -7.72168586e-02 -7.77468321e-06 
 1.34280000e-06 -2.14135122e-08  0.00000000e+00 -7.75826311e-02 -7.77842026e-06 
 1.35280000e-06 -2.14425840e-08  0.00000000e+00 -7.76195145e-02 -7.74917098e-06 
 1.36280000e-06 -2.14135335e-08  0.00000000e+00 -7.73273744e-02 -7.68708989e-06 
 1.37280000e-06 -2.14422679e-08  0.00000000e+00 -7.67077546e-02 -7.59249904e-06 
 1.38280000e-06 -2.14135513e-08  0.00000000e+00 -7.57638716e-02 -7.46588699e-06 
 1.39280000e-06 -2.14419623e-08  0.00000000e+00 -7.45006052e-02 -7.30790740e-06 
