I_D	g_m
1.140009999999998e-004	1.518671e-004
1.150009999999998e-004	1.518492e-004
1.160009999999998e-004	1.518286e-004
1.170009999999998e-004	1.518053e-004
1.180009999999998e-004	1.517764e-004
1.190009999999998e-004	1.517435e-004
1.200009999999998e-004	1.517078e-004
1.210009999999998e-004	1.516694e-004
1.220009999999998e-004	1.516256e-004
1.230009999999998e-004	1.515790e-004
1.240009999999998e-004	1.515311e-004
1.250009999999998e-004	1.514791e-004
1.260009999999997e-004	1.514230e-004
1.270009999999997e-004	1.513629e-004
1.280009999999997e-004	1.513015e-004
1.290009999999997e-004	1.512374e-004
1.300009999999997e-004	1.511679e-004
1.310009999999997e-004	1.510971e-004
1.320009999999997e-004	1.510236e-004
1.330009999999997e-004	1.509475e-004
1.340009999999997e-004	1.508688e-004
1.350009999999997e-004	1.507861e-004
1.360009999999997e-004	1.507021e-004
1.370009999999997e-004	1.506142e-004
1.380009999999997e-004	1.505237e-004
1.390009999999997e-004	1.504332e-004
1.400009999999997e-004	1.503389e-004
1.410009999999997e-004	1.502406e-004
1.420009999999997e-004	1.501411e-004
1.430009999999997e-004	1.500390e-004
1.440009999999997e-004	1.499345e-004
1.450009999999997e-004	1.498287e-004
1.460009999999997e-004	1.497204e-004
1.470009999999997e-004	1.496096e-004
1.480009999999997e-004	1.494976e-004
1.490009999999997e-004	1.493829e-004
1.500000000000000e-004	1.493241e-004
