 V3         V_out:Iss=5.00e-07        
-8.60000000e-02  4.43456729e-01 
-8.50000000e-02  4.44960530e-01 
-8.40000000e-02  4.46478821e-01 
-8.30000000e-02  4.48012095e-01 
-8.20000000e-02  4.49560869e-01 
-8.10000000e-02  4.51125688e-01 
-8.00000000e-02  4.52707122e-01 
-7.90000000e-02  4.54305773e-01 
-7.80000000e-02  4.55922274e-01 
-7.70000000e-02  4.57557293e-01 
-7.60000000e-02  4.59211533e-01 
-7.50000000e-02  4.60885738e-01 
-7.40000000e-02  4.62580694e-01 
-7.30000000e-02  4.64297233e-01 
-7.20000000e-02  4.66036235e-01 
-7.10000000e-02  4.67798634e-01 
-7.00000000e-02  4.69585421e-01 
-6.90000000e-02  4.71397650e-01 
-6.80000000e-02  4.73236442e-01 
-6.70000000e-02  4.75102992e-01 
-6.60000000e-02  4.76998573e-01 
-6.50000000e-02  4.78924548e-01 
-6.40000000e-02  4.80882373e-01 
-6.30000000e-02  4.82873609e-01 
-6.20000000e-02  4.84899931e-01 
-6.10000000e-02  4.86963140e-01 
-6.00000000e-02  4.89065175e-01 
-5.90000000e-02  4.91208126e-01 
-5.80000000e-02  4.93394254e-01 
-5.70000000e-02  4.95626006e-01 
-5.60000000e-02  4.97906035e-01 
-5.50000000e-02  5.00237229e-01 
-5.40000000e-02  5.02622730e-01 
-5.30000000e-02  5.05065972e-01 
-5.20000000e-02  5.07570711e-01 
-5.10000000e-02  5.10141071e-01 
-5.00000000e-02  5.12781583e-01 
-4.90000000e-02  5.15497246e-01 
-4.80000000e-02  5.18293586e-01 
-4.70000000e-02  5.21176727e-01 
-4.60000000e-02  5.24153476e-01 
-4.50000000e-02  5.27231419e-01 
-4.40000000e-02  5.30419031e-01 
-4.30000000e-02  5.33725809e-01 
-4.20000000e-02  5.37162416e-01 
-4.10000000e-02  5.40740855e-01 
-4.00000000e-02  5.44474666e-01 
-3.90000000e-02  5.48379142e-01 
-3.80000000e-02  5.52471583e-01 
-3.70000000e-02  5.56771566e-01 
-3.60000000e-02  5.61301239e-01 
-3.50000000e-02  5.66085635e-01 
-3.40000000e-02  5.71152988e-01 
-3.30000000e-02  5.76535046e-01 
