 V3         V_diff:Iss=5.00e-07       
-1.40000000e-02  4.03433267e-01 
-1.30000000e-02  3.79990404e-01 
-1.20000000e-02  3.55525981e-01 
-1.10000000e-02  3.30058579e-01 
-1.00000000e-02  3.03617826e-01 
-9.00000000e-03  2.76244501e-01 
-8.00000000e-03  2.47991061e-01 
-7.00000000e-03  2.18921175e-01 
-6.00000000e-03  1.89109597e-01 
-5.00000000e-03  1.58641289e-01 
-4.00000000e-03  1.27610536e-01 
-3.00000000e-03  9.61196046e-02 
-2.00000000e-03  6.42775440e-02 
-1.00000000e-03  3.21984291e-02 
 7.63278329e-17 -7.61815711e-09 
 1.00000000e-03 -3.21984688e-02 
 2.00000000e-03 -6.42775493e-02 
 3.00000000e-03 -9.61196440e-02 
 4.00000000e-03 -1.27610546e-01 
 5.00000000e-03 -1.58641279e-01 
 6.00000000e-03 -1.89109552e-01 
 7.00000000e-03 -2.18921125e-01 
 8.00000000e-03 -2.47990986e-01 
 9.00000000e-03 -2.76244435e-01 
 1.00000000e-02 -3.03617747e-01 
 1.10000000e-02 -3.30058522e-01 
 1.20000000e-02 -3.55525898e-01 
 1.30000000e-02 -3.79990360e-01 
 1.40000000e-02 -4.03433251e-01 
 1.50000000e-02 -4.25846144e-01 
 1.60000000e-02 -4.47229994e-01 
 1.70000000e-02 -4.67594150e-01 
 1.80000000e-02 -4.86955273e-01 
 1.90000000e-02 -5.05336399e-01 
 2.00000000e-02 -5.22765818e-01 
 2.10000000e-02 -5.39276281e-01 
 2.20000000e-02 -5.54904020e-01 
 2.30000000e-02 -5.69688139e-01 
 2.40000000e-02 -5.83669951e-01 
 2.50000000e-02 -5.96892294e-01 
 2.60000000e-02 -6.09399114e-01 
 2.70000000e-02 -6.21234686e-01 
 2.80000000e-02 -6.32443191e-01 
 2.90000000e-02 -6.43068041e-01 
 3.00000000e-02 -6.53151458e-01 
 3.10000000e-02 -6.62733932e-01 
 3.20000000e-02 -6.71853938e-01 
 3.30000000e-02 -6.80547578e-01 
 3.40000000e-02 -6.88848516e-01 
 3.50000000e-02 -6.96787880e-01 
 3.60000000e-02 -7.04394293e-01 
 3.70000000e-02 -7.11693914e-01 
 3.80000000e-02 -7.18710625e-01 
 3.90000000e-02 -7.25466136e-01 
 4.00000000e-02 -7.31980157e-01 
 4.10000000e-02 -7.38270592e-01 
 4.20000000e-02 -7.44353656e-01 
 4.30000000e-02 -7.50244085e-01 
 4.40000000e-02 -7.55955248e-01 
 4.50000000e-02 -7.61499316e-01 
 4.60000000e-02 -7.66887325e-01 
 4.70000000e-02 -7.72129382e-01 
 4.80000000e-02 -7.77234685e-01 
 4.90000000e-02 -7.82211646e-01 
 5.00000000e-02 -7.87067973e-01 
 5.10000000e-02 -7.91810731e-01 
 5.20000000e-02 -7.96446436e-01 
 5.30000000e-02 -8.00981057e-01 
 5.40000000e-02 -8.05420113e-01 
 5.50000000e-02 -8.09768698e-01 
 5.60000000e-02 -8.14031532e-01 
 5.70000000e-02 -8.18213001e-01 
 5.80000000e-02 -8.22317140e-01 
 5.90000000e-02 -8.26347741e-01 
 6.00000000e-02 -8.30308311e-01 
 6.10000000e-02 -8.34202123e-01 
 6.20000000e-02 -8.38032253e-01 
 6.30000000e-02 -8.41801555e-01 
 6.40000000e-02 -8.45512704e-01 
 6.50000000e-02 -8.49168230e-01 
 6.60000000e-02 -8.52770479e-01 
 6.70000000e-02 -8.56321678e-01 
 6.80000000e-02 -8.59823911e-01 
 6.90000000e-02 -8.63279151e-01 
 7.00000000e-02 -8.66689248e-01 
 7.10000000e-02 -8.70055953e-01 
 7.20000000e-02 -8.73380928e-01 
 7.30000000e-02 -8.76665737e-01 
 7.40000000e-02 -8.79911862e-01 
 7.50000000e-02 -8.83120715e-01 
 7.60000000e-02 -8.86293620e-01 
 7.70000000e-02 -8.89431854e-01 
 7.80000000e-02 -8.92536615e-01 
 7.90000000e-02 -8.95609051e-01 
 8.00000000e-02 -8.98650250e-01 
 8.10000000e-02 -9.01661245e-01 
 8.20000000e-02 -9.04643038e-01 
 8.30000000e-02 -9.07596563e-01 
 8.40000000e-02 -9.10522722e-01 
 8.50000000e-02 -9.13422384e-01 
 8.60000000e-02 -9.16296362e-01 
 8.70000000e-02 -9.19145445e-01 
 8.80000000e-02 -9.21970391e-01 
 8.90000000e-02 -9.24771913e-01 
 9.00000000e-02 -9.27550710e-01 
 9.10000000e-02 -9.30307444e-01 
 9.20000000e-02 -9.33042743e-01 
 9.30000000e-02 -9.35757222e-01 
 9.40000000e-02 -9.38451467e-01 
 9.50000000e-02 -9.41126043e-01 
 9.60000000e-02 -9.43781482e-01 
 9.70000000e-02 -9.46418310e-01 
 9.80000000e-02 -9.49037032e-01 
 9.90000000e-02 -9.51638120e-01 
 1.00000000e-01 -9.54222041e-01 
 V3         V_diff:Iss=5.00e-05       
-1.00000000e-01  1.02165586e+00 
-9.90000000e-02  1.01856315e+00 
-9.80000000e-02  1.01542091e+00 
-9.70000000e-02  1.01226527e+00 
-9.60000000e-02  1.00908329e+00 
-9.50000000e-02  1.00587424e+00 
-9.40000000e-02  1.00263738e+00 
-9.30000000e-02  9.99371932e-01 
-9.20000000e-02  9.96077081e-01 
-9.10000000e-02  9.92751981e-01 
-9.00000000e-02  9.89395760e-01 
-8.90000000e-02  9.86007505e-01 
-8.80000000e-02  9.82586256e-01 
-8.70000000e-02  9.79131016e-01 
-8.60000000e-02  9.75640748e-01 
-8.50000000e-02  9.72114366e-01 
-8.40000000e-02  9.68550728e-01 
-8.30000000e-02  9.64948646e-01 
-8.20000000e-02  9.61306875e-01 
-8.10000000e-02  9.57624115e-01 
-8.00000000e-02  9.53898992e-01 
-7.90000000e-02  9.50130081e-01 
-7.80000000e-02  9.46315870e-01 
-7.70000000e-02  9.42454778e-01 
-7.60000000e-02  9.38545150e-01 
-7.50000000e-02  9.34585230e-01 
-7.40000000e-02  9.30573185e-01 
-7.30000000e-02  9.26507074e-01 
-7.20000000e-02  9.22384859e-01 
-7.10000000e-02  9.18204376e-01 
-7.00000000e-02  9.13963356e-01 
-6.90000000e-02  9.09659385e-01 
-6.80000000e-02  9.05289928e-01 
-6.70000000e-02  9.00852282e-01 
-6.60000000e-02  8.96343604e-01 
-6.50000000e-02  8.91760856e-01 
-6.40000000e-02  8.87100839e-01 
-6.30000000e-02  8.82360132e-01 
-6.20000000e-02  8.77535114e-01 
-6.10000000e-02  8.72621928e-01 
-6.00000000e-02  8.67616468e-01 
-5.90000000e-02  8.62514352e-01 
-5.80000000e-02  8.57310921e-01 
-5.70000000e-02  8.52001192e-01 
-5.60000000e-02  8.46579846e-01 
-5.50000000e-02  8.41041204e-01 
-5.40000000e-02  8.35379190e-01 
-5.30000000e-02  8.29587308e-01 
-5.20000000e-02  8.23658609e-01 
-5.10000000e-02  8.17585656e-01 
-5.00000000e-02  8.11360490e-01 
-4.90000000e-02  8.04974587e-01 
-4.80000000e-02  7.98418839e-01 
-4.70000000e-02  7.91683492e-01 
-4.60000000e-02  7.84758129e-01 
-4.50000000e-02  7.77631618e-01 
-4.40000000e-02  7.70292080e-01 
-4.30000000e-02  7.62726883e-01 
-4.20000000e-02  7.54922541e-01 
-4.10000000e-02  7.46864767e-01 
-4.00000000e-02  7.38538429e-01 
-3.90000000e-02  7.29927513e-01 
-3.80000000e-02  7.21015125e-01 
-3.70000000e-02  7.11783548e-01 
-3.60000000e-02  7.02214187e-01 
-3.50000000e-02  6.92287649e-01 
-3.40000000e-02  6.81983756e-01 
-3.30000000e-02  6.71281630e-01 
-3.20000000e-02  6.60159729e-01 
-3.10000000e-02  6.48596017e-01 
-3.00000000e-02  6.36567971e-01 
-2.90000000e-02  6.24052807e-01 
-2.80000000e-02  6.11027584e-01 
-2.70000000e-02  5.97469427e-01 
-2.60000000e-02  5.83355733e-01 
-2.50000000e-02  5.68664418e-01 
-2.40000000e-02  5.53374158e-01 
-2.30000000e-02  5.37464765e-01 
-2.20000000e-02  5.20917474e-01 
-2.10000000e-02  5.03715386e-01 
-2.00000000e-02  4.85843777e-01 
-1.90000000e-02  4.67290541e-01 
-1.80000000e-02  4.48046658e-01 
-1.70000000e-02  4.28106560e-01 
-1.60000000e-02  4.07468621e-01 
-1.50000000e-02  3.86135451e-01 
-1.40000000e-02  3.64114374e-01 
-1.30000000e-02  3.41417706e-01 
-1.20000000e-02  3.18062870e-01 
-1.10000000e-02  2.94072789e-01 
-1.00000000e-02  2.69475875e-01 
-9.00000000e-03  2.44305913e-01 
-8.00000000e-03  2.18602186e-01 
-7.00000000e-03  1.92409129e-01 
-6.00000000e-03  1.65776030e-01 
-5.00000000e-03  1.38756720e-01 
-4.00000000e-03  1.11409036e-01 
-3.00000000e-03  8.37943304e-02 
-2.00000000e-03  5.59767244e-02 
-1.00000000e-03  2.80226645e-02 
 7.63278329e-17  5.21317056e-09 
 1.00000000e-03 -2.80226743e-02 
 2.00000000e-03 -5.59767408e-02 
 3.00000000e-03 -8.37943197e-02 
 4.00000000e-03 -1.11409034e-01 
 5.00000000e-03 -1.38756712e-01 
 6.00000000e-03 -1.65776006e-01 
 7.00000000e-03 -1.92409101e-01 
 8.00000000e-03 -2.18602168e-01 
 9.00000000e-03 -2.44305884e-01 
 1.00000000e-02 -2.69475820e-01 
