 V7         I_VP:IQ=1.00e-07          I_VN:IQ=1.00e-07         
-7.00000000e-02  1.56121784e-05  4.94922116e-06 
-6.00000000e-02  1.47466632e-05  5.55205617e-06 
-5.00000000e-02  1.39014174e-05  6.19698706e-06 
-4.00000000e-02  1.30770278e-05  6.88280978e-06 
-3.00000000e-02  1.22741003e-05  7.60798833e-06 
-2.00000000e-02  1.14932599e-05  8.37072204e-06 
-1.00000000e-02  1.07351495e-05  9.16901396e-06 
 3.08780779e-16  1.00004286e-05  1.00007364e-05 
 1.00000000e-02  9.28977079e-06  1.08636905e-05 
 2.00000000e-02  8.60386001e-06  1.17556586e-05 
 3.00000000e-02  7.94338546e-06  1.26744474e-05 
 4.00000000e-02  7.30903477e-06  1.36179228e-05 
 5.00000000e-02  6.70148514e-06  1.45840362e-05 
 6.00000000e-02  6.12139219e-06  1.55708432e-05 
 7.00000000e-02  5.56937637e-06  1.65765156e-05 
 8.00000000e-02  5.04600666e-06  1.75993485e-05 
 9.00000000e-02  4.55178163e-06  1.86377624e-05 
 1.00000000e-01  4.08710822e-06  1.96903021e-05 
 1.10000000e-01  3.65227844e-06  2.07556333e-05 
 1.20000000e-01  3.24744507e-06  2.18325370e-05 
 1.30000000e-01  2.87259734e-06  2.29199030e-05 
 1.40000000e-01  2.52753823e-06  2.40167227e-05 
 1.50000000e-01  2.21186503e-06  2.51220815e-05 
 1.60000000e-01  1.92495533e-06  2.62351510e-05 
 1.70000000e-01  1.66596025e-06  2.73551820e-05 
 1.80000000e-01  1.43380649e-06  2.84814969e-05 
 1.90000000e-01  1.22720852e-06  2.96134831e-05 
 2.00000000e-01  1.04469086e-06  3.07505868e-05 
 2.10000000e-01  8.84620005e-07  3.18923072e-05 
 2.20000000e-01  7.45244009e-07  3.30381912e-05 
 2.30000000e-01  6.24737285e-07  3.41878285e-05 
 2.40000000e-01  5.21247373e-07  3.53408471e-05 
 2.50000000e-01  4.32940354e-07  3.64969095e-05 
 2.60000000e-01  3.58041887e-07  3.76557094e-05 
 2.70000000e-01  2.94871453e-07  3.88169680e-05 
 2.80000000e-01  2.41868332e-07  3.99804314e-05 
 2.90000000e-01  1.97608752e-07  4.11458682e-05 
 3.00000000e-01  1.60814581e-07  4.23130669e-05 
 3.10000000e-01  1.30354567e-07  4.34818341e-05 
 3.20000000e-01  1.05239605e-07  4.46519927e-05 
 3.30000000e-01  8.46136747e-08  4.58233803e-05 
 3.40000000e-01  6.77420464e-08  4.69958475e-05 
 3.50000000e-01  5.39981748e-08  4.81692570e-05 
 3.60000000e-01  4.28504054e-08  4.93434821e-05 
 3.70000000e-01  3.38492995e-08  5.05184060e-05 
 3.80000000e-01  2.66160699e-08  5.16939207e-05 
 3.90000000e-01  2.08323635e-08  5.28699263e-05 
 4.00000000e-01  1.62314167e-08  5.40463301e-05 
 4.10000000e-01  1.25904867e-08  5.52230462e-05 
 4.20000000e-01  9.72438895e-09  5.63999945e-05 
 4.30000000e-01  7.47996130e-09  5.75771007e-05 
 4.40000000e-01  5.73128149e-09  5.87542956e-05 
 4.50000000e-01  4.37550939e-09  5.99315143e-05 
 4.60000000e-01  3.32925003e-09  6.11086966e-05 
 4.70000000e-01  2.52537184e-09  6.22857858e-05 
 4.80000000e-01  1.91023462e-09  6.34627291e-05 
 4.90000000e-01  1.44128669e-09  6.46394768e-05 
 5.00000000e-01  1.08500918e-09  6.58159823e-05 
